City,Coordinates,Administrative Division,Country,Country Code,Reason,Year,Places,,,,,,,,,,,,,,,,,,
Kaifeng / 开封,"34.795, 114.345",Henan / 河南省,China / 中国,CHN,tourism,2014,Little Song City / 汴梁小宋城,,,,,,,,,,,,,,,,,,
Jinan / 济南,"36.6702, 117.0207",Shandong / 山东省,China / 中国,CHN,personal,2014,Shandong University / 山东大学,,,,,,,,,,,,,,,,,,
Jinan / 济南,"36.6702, 117.0207",Shandong / 山东省,China / 中国,CHN,tourism,2014,Baotu Spring / 趵突泉,,,,,,,,,,,,,,,,,,
Jinan / 济南,"36.6702, 117.0207",Shandong / 山东省,China / 中国,CHN,tourism,2014,Daming Lake / 大明湖,,,,,,,,,,,,,,,,,,
Beijing / 北京,"39.906667, 116.3975",Beijing / 北京市,China / 中国,CHN,tourism,2011,Olympic Green / 奥林匹克公园,,,,,,,,,,,,,,,,,,
Beijing / 北京,"39.906667, 116.3975",Beijing / 北京市,China / 中国,CHN,tourism,2011,China Science and Technology Museum / 中国科学技术馆,,,,,,,,,,,,,,,,,,
Beijing / 北京,"39.906667, 116.3975",Beijing / 北京市,China / 中国,CHN,tourism,2011,Tsinghua University / 清华大学,,,,,,,,,,,,,,,,,,
Beijing / 北京,"39.906667, 116.3975",Beijing / 北京市,China / 中国,CHN,tourism,2011,Juyong Pass Great Wall / 居庸关长城,,,,,,,,,,,,,,,,,,
Beijing / 北京,"39.906667, 116.3975",Beijing / 北京市,China / 中国,CHN,tourism,2011,Tiananmen Square / 天安门广场,,,,,,,,,,,,,,,,,,
Beijing / 北京,"39.906667, 116.3975",Beijing / 北京市,China / 中国,CHN,tourism,2011,Summer Palace / 颐和园,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,airport,2014,CAN - Guangzhou Baiyun International Airport / 广州白云国际机场,,,,,,,,,,,,,,,,,,
Melbourne / 墨尔本,"-37.814167, 144.963056",Victoria / 维多利亚州,Australia / 澳大利亚,AUS,airport,2014,MEL - Melbourne Airport / 墨尔本机场,,,,,,,,,,,,,,,,,,
Melbourne / 墨尔本,"-37.814167, 144.963056",Victoria / 维多利亚州,Australia / 澳大利亚,AUS,tourism,2014,St Paul's Cathedral / 圣保罗座堂,,,,,,,,,,,,,,,,,,
Melbourne / 墨尔本,"-37.814167, 144.963056",Victoria / 维多利亚州,Australia / 澳大利亚,AUS,tourism,2014,Royal Botanic Gardens Victoria / 维多利亚皇家植物园,,,,,,,,,,,,,,,,,,
Melbourne / 墨尔本,"-37.814167, 144.963056",Victoria / 维多利亚州,Australia / 澳大利亚,AUS,tourism,2014,Federation Square / 联邦广场,,,,,,,,,,,,,,,,,,
Melbourne / 墨尔本,"-37.814167, 144.963056",Victoria / 维多利亚州,Australia / 澳大利亚,AUS,tourism,2014,National Gallery of Victoria / 维多利亚国立美术馆,,,,,,,,,,,,,,,,,,
Gold Coast / 黄金海岸,"-27.9983, 153.3344",Queensland / 昆士兰州,Australia / 澳大利亚,AUS,airport,2014,OOL - Gold Coast Airport / 黄金海岸机场,,,,,,,,,,,,,,,,,,
Brisbane / 布里斯班,"-27.467778, 153.028056",Queensland / 昆士兰州,Australia / 澳大利亚,AUS,tourism,2014,Brisbane City Hall / 布里斯班市政厅,,,,,,,,,,,,,,,,,,
Brisbane / 布里斯班,"-27.467778, 153.028056",Queensland / 昆士兰州,Australia / 澳大利亚,AUS,tourism,2014,Story Bridge / 故事桥,,,,,,,,,,,,,,,,,,
Brisbane / 布里斯班,"-27.467778, 153.028056",Queensland / 昆士兰州,Australia / 澳大利亚,AUS,tourism,2014,South Bank Parklands / 南岸公园,,,,,,,,,,,,,,,,,,
Gold Coast / 黄金海岸,"-27.9983, 153.3344",Queensland / 昆士兰州,Australia / 澳大利亚,AUS,tourism,2014,Gold Coast / 黄金海岸,,,,,,,,,,,,,,,,,,
Gold Coast / 黄金海岸,"-27.9983, 153.3344",Queensland / 昆士兰州,Australia / 澳大利亚,AUS,tourism,2014,Paradise Country / 天堂农庄,,,,,,,,,,,,,,,,,,
Gold Coast / 黄金海岸,"-27.9983, 153.3344",Queensland / 昆士兰州,Australia / 澳大利亚,AUS,tourism,2014,Warner Bros. Movie World / 华纳兄弟电影世界,,,,,,,,,,,,,,,,,,
Auckland / 奥克兰,"-36.8492, 174.7653",Auckland / 奥克兰大区,New Zealand / 新西兰,NZL,airport,2014,AKL - Auckland Airport / 奥克兰机场,,,,,,,,,,,,,,,,,,
Auckland / 奥克兰,"-36.8492, 174.7653",Auckland / 奥克兰大区,New Zealand / 新西兰,NZL,tourism,2014,Maungawhau / 伊甸山,,,,,,,,,,,,,,,,,,
Auckland / 奥克兰,"-36.8492, 174.7653",Auckland / 奥克兰大区,New Zealand / 新西兰,NZL,tourism,2014,Auckland War Memorial Museum / 奥克兰战争纪念博物馆,,,,,,,,,,,,,,,,,,
Auckland / 奥克兰,"-36.8492, 174.7653",Auckland / 奥克兰大区,New Zealand / 新西兰,NZL,tourism,2014,Auckland Botanic Gardens / 奥克兰植物园,,,,,,,,,,,,,,,,,,
Rotorua / 罗托鲁瓦,"-38.137778, 176.251389",Bay of Plenty / 丰盛湾大区,New Zealand / 新西兰,NZL,tourism,2014,Whakarewarewa / 华卡雷瓦雷瓦,,,,,,,,,,,,,,,,,,
Rotorua / 罗托鲁瓦,"-38.137778, 176.251389",Bay of Plenty / 丰盛湾大区,New Zealand / 新西兰,NZL,tourism,2014,New Zealand Māori Arts and Crafts Institute / 新西兰毛利文化艺术中心,,,,,,,,,,,,,,,,,,
Rotorua / 罗托鲁瓦,"-38.137778, 176.251389",Bay of Plenty / 丰盛湾大区,New Zealand / 新西兰,NZL,tourism,2014,Redwoods Forest / 华卡雷瓦雷瓦红杉林,,,,,,,,,,,,,,,,,,
Rotorua / 罗托鲁瓦,"-38.137778, 176.251389",Bay of Plenty / 丰盛湾大区,New Zealand / 新西兰,NZL,tourism,2014,Agrodome / 爱歌多牧场,,,,,,,,,,,,,,,,,,
Sydney / 悉尼,"-33.867778, 151.21",New South Wales / 新南威尔士州,Australia / 澳大利亚,AUS,airport,2014,SYD - Sydney Kingsford Smith Airport / 悉尼金斯福德·史密斯机场,,,,,,,,,,,,,,,,,,
Sydney / 悉尼,"-33.867778, 151.21",New South Wales / 新南威尔士州,Australia / 澳大利亚,AUS,tourism,2014,Sydney Opera House / 悉尼歌剧院,,,,,,,,,,,,,,,,,,
Sydney / 悉尼,"-33.867778, 151.21",New South Wales / 新南威尔士州,Australia / 澳大利亚,AUS,tourism,2014,Sydney Harbour Bridge / 悉尼海港大桥,,,,,,,,,,,,,,,,,,
Sydney / 悉尼,"-33.867778, 151.21",New South Wales / 新南威尔士州,Australia / 澳大利亚,AUS,tourism,2014,St Mary's Cathedral / 圣母主教座堂,,,,,,,,,,,,,,,,,,
Sydney / 悉尼,"-33.867778, 151.21",New South Wales / 新南威尔士州,Australia / 澳大利亚,AUS,tourism,2014,University of Sydney / 悉尼大学,,,,,,,,,,,,,,,,,,
Sydney / 悉尼,"-33.867778, 151.21",New South Wales / 新南威尔士州,Australia / 澳大利亚,AUS,tourism,2014,Bondi Beach / 邦代海滩,,,,,,,,,,,,,,,,,,
Sydney / 悉尼,"-33.867778, 151.21",New South Wales / 新南威尔士州,Australia / 澳大利亚,AUS,tourism,2014,Sydney Fish Market / 悉尼鱼市场,,,,,,,,,,,,,,,,,,
Sydney / 悉尼,"-33.867778, 151.21",New South Wales / 新南威尔士州,Australia / 澳大利亚,AUS,tourism,2014,Sydney Olympic Park / 悉尼奥林匹克公园,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.2",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,home,2014,,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.3",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,home,2015,,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.4",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,home,2016,,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.5",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,home,2017,,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.6",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,home,2018,,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.7",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,university,2014,Hong Kong Polytechnic University / 香港理工大学,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.8",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,university,2015,Hong Kong Polytechnic University / 香港理工大学,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.9",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,university,2016,Hong Kong Polytechnic University / 香港理工大学,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.10",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,university,2017,Hong Kong Polytechnic University / 香港理工大学,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.11",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,university,2018,Hong Kong Polytechnic University / 香港理工大学,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.12",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,airport,2014,HKG - Hong Kong International Airport / 香港国际机场,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.13",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,matchday,2014,Hong Kong Stadium / 香港大球场,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.14",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,tourism,2014,Victoria Harbour / 维多利亚港,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.15",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,tourism,2014,Golden Bauhinia Square / 金紫荆广场,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.16",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,tourism,2014,Ocean Park Hong Kong / 香港海洋公园,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.16",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,tourism,2014,Victoria Peak / 太平山,,,,,,,,,,,,,,,,,,
Shenzhen / 深圳,"22.546667, 114.054444",Guangdong / 广东省,China / 中国,CHN,personal,2014,,,,,,,,,,,,,,,,,,,
Macau / 澳门,"22.195833, 113.541389",São Lourenço / 风顺堂区,Macau SAR / 澳门,MAC,tourism,2014,Ruins of Saint Paul's / 大三巴牌坊,,,,,,,,,,,,,,,,,,
Macau / 澳门,"22.195833, 113.541389",São Lourenço / 风顺堂区,Macau SAR / 澳门,MAC,tourism,2014,Macau Tower Convention and Entertainment Center / 澳门旅游塔会展娱乐中心,,,,,,,,,,,,,,,,,,
Macau / 澳门,"22.195833, 113.541389",São Lourenço / 风顺堂区,Macau SAR / 澳门,MAC,tourism,2014,The Venetian Macao / 澳门威尼斯人,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.12",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,airport,2015,HKG - Hong Kong International Airport / 香港国际机场,,,,,,,,,,,,,,,,,,
Shenzhen / 深圳,"22.546667, 114.054444",Guangdong / 广东省,China / 中国,CHN,personal,2015,,,,,,,,,,,,,,,,,,,
Shenzhen / 深圳,"22.546667, 114.054444",Guangdong / 广东省,China / 中国,CHN,tourism,2015,Happy Valley Shenzhen / 深圳欢乐谷,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.14",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,tourism,2015,Victoria Harbour / 维多利亚港,,,,,,,,,,,,,,,,,,
Hong Kong / 香港,"22.3, 114.15",Central and Western / 中西区,Hong Kong SAR / 香港,HKG,tourism,2015,Victoria Peak / 太平山,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,matchday,2015,Yuexiushan Stadium / 越秀山体育场,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,matchday,2015,Tianhe Stadium / 天河体育场,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,tourism,2015,Yuexiu Park / 越秀公园,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,tourism,2015,Shamian / 沙面,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,airport,2015,CAN - Guangzhou Baiyun International Airport / 广州白云国际机场,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,personal,2015,South China University of Technology / 华南理工大学,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,tourism,2015,Sacred Heart Cathedral / 石室圣心大教堂,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,tourism,2015,Canton Tower / 广州塔,,,,,,,,,,,,,,,,,,
Guangzhou / 广州,"23.13, 113.26",Guangdong / 广东省,China / 中国,CHN,tourism,2015,Sun Yat-sen University / 中山大学,,,,,,,,,,,,,,,,,,
Fuzhou / 福州,"26.0743, 119.2964",Fujian / 福建省,China / 中国,CHN,airport,2015,FOC - Fuzhou Changle International Airport / 福州长乐国际机场,,,,,,,,,,,,,,,,,,
Fuzhou / 福州,"26.0743, 119.2965",Fujian / 福建省,China / 中国,CHN,personal,2015,,,,,,,,,,,,,,,,,,,
Fuzhou / 福州,"26.0743, 119.2966",Fujian / 福建省,China / 中国,CHN,tourism,2015,Sanfang Qixiang / 三坊七巷,,,,,,,,,,,,,,,,,,
Fuzhou / 福州,"26.0743, 119.2967",Fujian / 福建省,China / 中国,CHN,tourism,2015,Fujian Museum / 福建博物院,,,,,,,,,,,,,,,,,,
Dubai / 迪拜,"25.204722, 55.270833",Dubai / 迪拜酋长国,United Arab Emirates / 阿拉伯联合酋长国,ARE,airport,2015,DXB - Dubai International Airport / 迪拜国际机场,,,,,,,,,,,,,,,,,,
Athens / 雅典,"37.984167, 23.728056",Attica / 阿提卡大区,Greece / 希腊,GRC,airport,2015,ATH - Athens International Airport Eleftherios Venizelos / 雅典国际机场,,,,,,,,,,,,,,,,,,
Athens / 雅典,"37.984167, 23.728056",Attica / 阿提卡大区,Greece / 希腊,GRC,tourism,2015,Acropolis / 雅典卫城,,,,,,,,,,,,,,,,,,
Athens / 雅典,"37.984167, 23.728056",Attica / 阿提卡大区,Greece / 希腊,GRC,tourism,2015,Ancient Agora / 古市集,,,,,,,,,,,,,,,,,,
Athens / 雅典,"37.984167, 23.728056",Attica / 阿提卡大区,Greece / 希腊,GRC,tourism,2015,Roman Agora / 罗马市集,,,,,,,,,,,,,,,,,,
Athens / 雅典,"37.984167, 23.728056",Attica / 阿提卡大区,Greece / 希腊,GRC,tourism,2015,Panathenaic Stadium / 帕那辛纳克体育场,,,,,,,,,,,,,,,,,,
Athens / 雅典,"37.984167, 23.728056",Attica / 阿提卡大区,Greece / 希腊,GRC,tourism,2015,National Garden / 雅典国立花园,,,,,,,,,,,,,,,,,,
Santorini / 圣托里尼,"36.415, 25.4325",South Aegean / 南爱琴大区,Greece / 希腊,GRC,tourism,2015,Oia / 伊亚,,,,,,,,,,,,,,,,,,
Santorini / 圣托里尼,"36.415, 25.4325",South Aegean / 南爱琴大区,Greece / 希腊,GRC,airport,2015,JTR - Santorini International Airport / 圣托里尼机场,,,,,,,,,,,,,,,,,,
Rome / 罗马,"41.893333, 12.482778",Lazio / 拉齐奥大区,Italy / 意大利,ITA,airport,2015,FCO - Rome Fiumicino Airport / 罗马菲乌米奇诺机场,,,,,,,,,,,,,,,,,,
Rome / 罗马,"41.893333, 12.482778",Lazio / 拉齐奥大区,Italy / 意大利,ITA,tourism,2015,Colosseum / 罗马斗兽场,,,,,,,,,,,,,,,,,,
Rome / 罗马,"41.893333, 12.482778",Lazio / 拉齐奥大区,Italy / 意大利,ITA,tourism,2015,Roman Forum / 古罗马广场,,,,,,,,,,,,,,,,,,
Rome / 罗马,"41.893333, 12.482778",Lazio / 拉齐奥大区,Italy / 意大利,ITA,tourism,2015,Piazza Navona / 纳沃纳广场,,,,,,,,,,,,,,,,,,
Rome / 罗马,"41.893333, 12.482778",Lazio / 拉齐奥大区,Italy / 意大利,ITA,tourism,2015,Bocca della Verità / 真理之口,,,,,,,,,,,,,,,,,,
Rome / 罗马,"41.893333, 12.482778",Lazio / 拉齐奥大区,Italy / 意大利,ITA,tourism,2015,Pantheon / 万神庙,,,,,,,,,,,,,,,,,,
Rome / 罗马,"41.893333, 12.482778",Lazio / 拉齐奥大区,Italy / 意大利,ITA,tourism,2015,Trevi Fountain / 特雷维喷泉,,,,,,,,,,,,,,,,,,
Vatican City / 梵蒂冈,"41.9025, 12.4525",-,Vatican City / 梵蒂冈,VAT,tourism,2015,Vatican Museums / 梵蒂冈博物馆,,,,,,,,,,,,,,,,,,
Vatican City / 梵蒂冈,"41.9025, 12.4525",-,Vatican City / 梵蒂冈,VAT,tourism,2015,St. Peter's Basilica / 圣伯多禄大殿,,,,,,,,,,,,,,,,,,
Pisa / 比萨,"43.716667, 10.4",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Leaning Tower of Pisa / 比萨斜塔,,,,,,,,,,,,,,,,,,
Pisa / 比萨,"43.716667, 10.4",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Pisa Cathedral / 比萨主教座堂,,,,,,,,,,,,,,,,,,
Florence / 佛罗伦萨,"43.771389, 11.254167",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Cathedral of Saint Mary of the Flower / 圣母百花大教堂,,,,,,,,,,,,,,,,,,
Florence / 佛罗伦萨,"43.771389, 11.254167",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Uffizi Gallery / 乌菲齐美术馆,,,,,,,,,,,,,,,,,,
Florence / 佛罗伦萨,"43.771389, 11.254167",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Piazzale Michelangelo / 米开朗基罗广场,,,,,,,,,,,,,,,,,,
Florence / 佛罗伦萨,"43.771389, 11.254167",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Palazzo Pitti / 碧提宫,,,,,,,,,,,,,,,,,,
Florence / 佛罗伦萨,"43.771389, 11.254167",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Piazza della Signoria / 领主广场,,,,,,,,,,,,,,,,,,
Florence / 佛罗伦萨,"43.771389, 11.254167",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Ponte Vecchio / 老桥,,,,,,,,,,,,,,,,,,
Florence / 佛罗伦萨,"43.771389, 11.254167",Tuscany / 托斯卡纳大区,Italy / 意大利,ITA,tourism,2015,Basilica di Santa Croce / 圣十字圣殿,,,,,,,,,,,,,,,,,,
Milan / 米兰,"45.466944, 9.19",Lombardy / 伦巴第大区,Italy / 意大利,ITA,tourism,2015,Expo 2015 / 2015世界博览会,,,,,,,,,,,,,,,,,,
Milan / 米兰,"45.466944, 9.19",Lombardy / 伦巴第大区,Italy / 意大利,ITA,tourism,2015,Stadio Giuseppe Meazza / 朱塞佩·梅阿查球场,,,,,,,,,,,,,,,,,,
Milan / 米兰,"45.466944, 9.19",Lombardy / 伦巴第大区,Italy / 意大利,ITA,tourism,2015,Casa Milan / 米兰之家,,,,,,,,,,,,,,,,,,
Milan / 米兰,"45.466944, 9.19",Lombardy / 伦巴第大区,Italy / 意大利,ITA,tourism,2015,Milan Cathedral / 米兰主教座堂,,,,,,,,,,,,,,,,,,
Milan / 米兰,"45.466944, 9.19",Lombardy / 伦巴第大区,Italy / 意大利,ITA,tourism,2015,Galleria Vittorio Emanuele II / 埃马努埃莱二世拱廊街,,,,,,,,,,,,,,,,,,
Milan / 米兰,"45.466944, 9.19",Lombardy / 伦巴第大区,Italy / 意大利,ITA,tourism,2015,La Scala / 斯卡拉大剧院,,,,,,,,,,,,,,,,,,
Milan / 米兰,"45.466944, 9.19",Lombardy / 伦巴第大区,Italy / 意大利,ITA,tourism,2015,Sforza Castle / 斯福尔扎城堡,,,,,,,,,,,,,,,,,,
Venice / 威尼斯,"45.4375, 12.335833",Veneto / 威尼托大区,Italy / 意大利,ITA,tourism,2015,Grand Canal / 大运河,,,,,,,,,,,,,,,,,,
Venice / 威尼斯,"45.4375, 12.335833",Veneto / 威尼托大区,Italy / 意大利,ITA,tourism,2015,Piazza San Marco / 圣马可广场,,,,,,,,,,,,,,,,,,
Venice / 威尼斯,"45.4375, 12.335833",Veneto / 威尼托大区,Italy / 意大利,ITA,tourism,2015,Rialto Bridge / 里阿尔托桥,,,,,,,,,,,,,,,,,,
Venice / 威尼斯,"45.4375, 12.335833",Veneto / 威尼托大区,Italy / 意大利,ITA,tourism,2015,Bridge of Sighs / 叹息桥,,,,,,,,,,,,,,,,,,
Venice / 威尼斯,"45.4375, 12.335833",Veneto / 威尼托大区,Italy / 意大利,ITA,tourism,2015,Doge's Palace / 威尼斯总督府,,,,,,,,,,,,,,,,,,
Venice / 威尼斯,"45.4375, 12.335833",Veneto / 威尼托大区,Italy / 意大利,ITA,airport,2015,VCE - Venice Marco Polo Airport / 威尼斯马可·波罗机场,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,airport,2015,BCN - Josep Tarradellas Barcelona–El Prat Airport / 巴塞罗那埃尔普拉特机场,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Camp Nou / 诺坎普球场,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Montjuïc / 蒙锥克山,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Poble Espanyol / 小西班牙,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Palau Nacional / 国家宫,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,La Rambla / 兰布拉大道,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Cathedral of the Holy Cross and Saint Eulalia / 巴塞罗那主教座堂,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Casa Batlló / 巴特略之家,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Casa Milà / 米拉之家,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Sagrada Família / 圣家堂,,,,,,,,,,,,,,,,,,
Barcelona / 巴塞罗那,"41.383333, 2.183333",Catalonia / 加泰罗尼亚自治区,Spain / 西班牙,ESP,tourism,2015,Park Güell / 桂尔公园,,,,,,,,,,,,,,,,,,
Madrid / 马德里,"40.4169, -3.7033",Madrid / 马德里自治区,Spain / 西班牙,ESP,tourism,2015,Bernabéu / 伯纳乌球场,,,,,,,,,,,,,,,,,,
Madrid / 马德里,"40.4169, -3.7033",Madrid / 马德里自治区,Spain / 西班牙,ESP,tourism,2015,Puerta del Sol / 太阳门广场,,,,,,,,,,,,,,,,,,
Madrid / 马德里,"40.4169, -3.7033",Madrid / 马德里自治区,Spain / 西班牙,ESP,tourism,2015,Museo del Prado / 普拉多博物馆,,,,,,,,,,,,,,,,,,
Madrid / 马德里,"40.4169, -3.7033",Madrid / 马德里自治区,Spain / 西班牙,ESP,tourism,2015,Royal Palace of Madrid / 马德里王宫,,,,,,,,,,,,,,,,,,
Granada / 格拉纳达,"37.175, -3.6",Andalusia / 安达卢西亚自治区,Spain / 西班牙,ESP,tourism,2015,Albaicín / 阿尔拜辛,,,,,,,,,,,,,,,,,,
Granada / 格拉纳达,"37.175, -3.6",Andalusia / 安达卢西亚自治区,Spain / 西班牙,ESP,tourism,2015,Alhambra / 阿尔罕布拉宫,,,,,,,,,,,,,,,,,,
Málaga / 马拉加,"36.719444, -4.42",Andalusia / 安达卢西亚自治区,Spain / 西班牙,ESP,tourism,2015,Alcazaba / 马拉加城堡,,,,,,,,,,,,,,,,,,
Málaga / 马拉加,"36.719444, -4.42",Andalusia / 安达卢西亚自治区,Spain / 西班牙,ESP,tourism,2015,Costa del Sol / 太阳海岸,,,,,,,,,,,,,,,,,,
Málaga / 马拉加,"36.719444, -4.42",Andalusia / 安达卢西亚自治区,Spain / 西班牙,ESP,airport,2015,AGP - Málaga–Costa del Sol Airport / 马拉加太阳海岸机场,,,,,,,,,,,,,,,,,,
Lisbon / 里斯本,"38.725278, -9.15",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,airport,2015,LIS - Humberto Delgado Airport / 温贝托·德尔加多机场,,,,,,,,,,,,,,,,,,
Lisbon / 里斯本,"38.725278, -9.15",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Rossio / 罗西乌广场,,,,,,,,,,,,,,,,,,
Lisbon / 里斯本,"38.725278, -9.15",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Ascensor da Glória / 荣耀升降机,,,,,,,,,,,,,,,,,,
Lisbon / 里斯本,"38.725278, -9.15",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Belém Tower / 贝伦塔,,,,,,,,,,,,,,,,,,
Lisbon / 里斯本,"38.725278, -9.15",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Jerónimos Monastery / 热罗尼莫斯修道院,,,,,,,,,,,,,,,,,,
Lisbon / 里斯本,"38.725278, -9.15",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Monument of the Discoveries / 发现者纪念碑,,,,,,,,,,,,,,,,,,
Sintra / 辛特拉,"38.799167, -9.388333",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Cabo da Roca / 罗卡角,,,,,,,,,,,,,,,,,,
Sintra / 辛特拉,"38.799167, -9.388333",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Sintra National Palace / 辛特拉宫,,,,,,,,,,,,,,,,,,
Sintra / 辛特拉,"38.799167, -9.388333",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Quinta da Regaleira / 雷加莱拉庄园,,,,,,,,,,,,,,,,,,
Sintra / 辛特拉,"38.799167, -9.388333",Lisbon / 里斯本区,Portugal / 葡萄牙,PRT,tourism,2015,Pena Palace / 佩纳宫,,,,,,,,,,,,,,,,,,
